Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.81     0.00   122390     0.00     0.00  bool std::operator==<char, std::char_traits<char> >(std::basic_string_view<char, std::char_traits<char> >, std::basic_string_view<char, std::char_traits<char> >)
  0.00      0.81     0.00   122186     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      0.81     0.00   121746     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      0.81     0.00   120402     0.00     0.00  std::_Function_handler<void (), EventPoll::handle_client_data(req_context*)::{lambda()#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      0.81     0.00    98335     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::_S_compare(unsigned long, unsigned long)
  0.00      0.81     0.00    97997     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::compare(std::basic_string_view<char, std::char_traits<char> >) const
  0.00      0.81     0.00    97961     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.81     0.00    97542     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.81     0.00    97533     0.00     0.00  __gnu_cxx::__normal_iterator<http_uri_handler*, std::vector<http_uri_handler, std::allocator<http_uri_handler> > >::base() const
  0.00      0.81     0.00    97389     0.00     0.00  HTTPServer::setup_default_routes()::{lambda(req_context*)#1}&& std::forward<HTTPServer::setup_default_routes()::{lambda(req_context*)#1}>(std::remove_reference<HTTPServer::setup_default_routes()::{lambda(req_context*)#1}>::type&)
  0.00      0.81     0.00    97385     0.00     0.00  std::function<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >& (req_context*)>::operator()(req_context*) const
  0.00      0.81     0.00    95934     0.00     0.00  std::function<void ()>::~function()
  0.00      0.81     0.00    95614     0.00     0.00  std::_Function_base::~_Function_base()
  0.00      0.81     0.00    75194     0.00     0.00  std::_Any_data::_M_access()
  0.00      0.81     0.00    75130     0.00     0.00  void std::_Function_base::_Base_manager<EventPoll::handle_client_data(req_context*)::{lambda()#1}>::_M_init_functor<EventPoll::handle_client_data(req_context*)::{lambda()#1}>(std::_Any_data&, EventPoll::handle_client_data(req_context*)::{lambda()#1}&&)
  0.00      0.81     0.00    75075     0.00     0.00  void std::_Function_base::_Base_manager<EventPoll::handle_client_data(req_context*)::{lambda()#1}>::_M_create<EventPoll::handle_client_data(req_context*)::{lambda()#1}>(std::_Any_data&, EventPoll::handle_client_data(req_context*)::{lambda()#1}&&, std::integral_constant<bool, true>) [clone .constprop.0]
  0.00      0.81     0.00    74762     0.00     0.00  void std::condition_variable::wait<ThreadPool::ThreadLoop()::{lambda()#1}>(std::unique_lock<std::mutex>&, ThreadPool::ThreadLoop()::{lambda()#1})
  0.00      0.81     0.00    74477     0.00     0.00  EventPoll::handle_client_data(req_context*)::{lambda()#1} const& std::_Any_data::_M_access<EventPoll::handle_client_data(req_context*)::{lambda()#1}>() const
  0.00      0.81     0.00    74451     0.00     0.00  std::_Function_base::_Base_manager<EventPoll::handle_client_data(req_context*)::{lambda()#1}>::_M_get_pointer(std::_Any_data const&)
  0.00      0.81     0.00    74437     0.00     0.00  EventPoll::handle_client_data(req_context*)::{lambda()#1} const* std::__addressof<EventPoll::handle_client_data(req_context*)::{lambda()#1} const>(EventPoll::handle_client_data(req_context*)::{lambda()#1} const&)
  0.00      0.81     0.00    73699     0.00     0.00  std::remove_reference<void (*&)(std::_Any_data const&)>::type&& std::move<void (*&)(std::_Any_data const&)>(void (*&)(std::_Any_data const&))
  0.00      0.81     0.00    73626     0.00     0.00  std::remove_reference<bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>::type&& std::move<bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>(bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation))
  0.00      0.81     0.00    73619     0.00     0.00  std::__cxx11::to_string(int)
  0.00      0.81     0.00    73597     0.00     0.00  std::remove_reference<std::_Any_data&>::type&& std::move<std::_Any_data&>(std::_Any_data&)
  0.00      0.81     0.00    73210     0.00     0.00  __gnu_cxx::__normal_iterator<http_uri_handler*, std::vector<http_uri_handler, std::allocator<http_uri_handler> > >::__normal_iterator(http_uri_handler* const&)
  0.00      0.81     0.00    73162     0.00     0.00  bool std::operator!=<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.81     0.00    72986     0.00     0.00  std::__array_traits<std::basic_string_view<char, std::char_traits<char> >, 9ul>::_S_ptr(std::basic_string_view<char, std::char_traits<char> > const (&) [9])
  0.00      0.81     0.00    72960     0.00     0.00  std::array<std::basic_string_view<char, std::char_traits<char> >, 9ul>::data() const
  0.00      0.81     0.00    72595     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::basic_string_view<char, std::char_traits<char> >, void>(std::basic_string_view<char, std::char_traits<char> > const&, std::allocator<char> const&)
  0.00      0.81     0.00    72372     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*)
  0.00      0.81     0.00    52159     0.00     0.00  std::function<void ()> const& std::forward<std::function<void ()> const&>(std::remove_reference<std::function<void ()> const&>::type&)
